gene
Gm53661
Larp1
Ngfr
Krtap1-5
Gm20759
Gm51937
Gm24253
Thoc5
Nos2
4930544D05Rik
Gm30525
Rnf145
Fam171a2
Gas2l2
Mrpl58
Med24
Arf1
Pecam1
Or2y1f
Serpinf2
Ube2g1
Cyfip2
Mmgt2
Gm25930
Eno3
Sectm1b
Igfbp3
Mir21a
Taf15
Npc1l1
Psme2b
Usp22
Pkd1l1
Zfp750
Itgae
Gm33791
Smg8
Tom1l2
Gm57484
Clhc1
Socs7
Gm40027
Ppp3r1
2900052L18Rik
n-TCgca18
Dhrs7b
Ern1
Gm24582
Gm39988
Prr11
1700012B07Rik
Ctdnep1
Kif19a
Or1p1
Gm30927
Scpep1
Mrps23
Rad51c
Gm34127
Or2o1
Cltc
Gm11437
Cwc25
Or1e29
Gm53711
Gm26413
Stard3
Pctp
Cacnb1
Cuedc1
BC018473
Zfp454
Gm51895
Tha1
Gm11682
Mief2
1700024J04Rik
Gm11515
Gm51909
Gm26061
Arhgap23
Gm2a
Trp53i13
Gm32384
Cby3
Pik3r5
Gp1ba
Npm1
Gm23247
Plxdc1
Tmem98
Gm46277
Gm36772
Gm53645
Tex19.2
Mir1933
Calcoco2
Arrb2
Gm30561
Derl2
Clec10a
Cyb5d1
Traf4
Wnt9a
Gm11513
Tspoap1
Gm24917
Gm51935
Plscr3
Scpep1os
Gm35063
Gm46288
Chd3
Gm46261
Gm35102
Gm22599
Ace3
Gm23699
Krt25
Gm11754
Etv4
Gas2l1
Gm29851
Gm35282
Or1e17
Adam11
Slc22a5
Gm38482
Gm35878
Il9r
Egfros
Gm12132
Cyb5d2
Irf1
Or2y1e
Stac2
Krt32
Gm22284
LOC666331
Sgsh
Cog1
Gm12108
Pde6g
Nlrp1a
Amz2
Slc13a2os
Lsm11
Gm53706
D130052B06Rik
4833417C18Rik
Tbx4
Gm40822
Gm57802
Supt4a
Tmem95
Gm11964
B230217C12Rik
Gm57767
Gm39424
Cntrob
Slc25a10
Hcrt
Gm11695
Gm39486
Rara
8430429K09Rik
1700046C09Rik
Nprl3
Gm26128
Gm39602
Gm12227
Gm53669
Gm51888
4930405D11Rik
Unc119
Rapgefl1
Ankrd40cl
Gm38907
F630206G17Rik
Gm46252
Smim36
Gm53680
Myadml2
Gm31954
Slc43a2
Ankfn1
Gsdma3
Gm51875
Stat5b
Gm30875
Cygb
Ovca2
Or2y1c
Gm53693
Gm51907
Gm12273
Tmem107
Tbx21
Gm12052
Gm12223
Krtap2-4
Cdc27
Gm39445
Gm30470
Gm38577
Cdk12
Gm25337
Gm34823
Ctc1
Cacna1g
Gm33250
2900041M22Rik
Lsm12
Gm34502
Gm16141
Hormad2
Utp6
Gm39605
Ap2b1
Gm53652
Gm39606
Gsg1l2
Gm38957
Rnd2
Gm42096
Or2y17
Gm11713
Stk10
Tex2
Srcin1
Gm42093
Akap1
Slc47a2
Tmem256
C1d
Gm30305
Bod1
4932414J04Rik
Atp5pd
Srr
Tekt3
Mir5110
Kcnh6
Ccdc57
Tmem101
Hnrnph1
Mis12
Sqstm1
Trim37
Liat1
Fam222b
Mrps7
Gm39575
G3bp1
Smarcd2
Mtmr3
Jup
Osm
Cdc6
Krtap4-2
Myo1d
Coasy
Scgb3a1
Meikin
Aldh3a1
Utp18
Tmem220
Znhit3
Faxdc2
1700052K11Rik
Gm12359
Ccl2
Snhg16
Gm46268
Il4
Gm53692
Cobl
Gm5431
Gm14206
9930111J21Rik2
Sec14l2
Gm33585
Lrrc59
Gm12128
Phf23
Dph1
Slc25a11
Gm11529
Gm30718
Or2ak7
A830035A12Rik
Rpain
Prss38
Dnaaf10
Gm53670
Gm35723
Npepps
Timm22
Inca1
Gm38501
Ptchd3
Cdrt4
Nlrp3
Gm36109
Map2k3
Spata32
Cxcl16
A230004M16Rik
Gm12343
Gm32730
Gm38934
Gm36565
Sox15
Gm11958
Gm53677
1700109G15Rik
C1qbp
Jpt1
Rai1
Gm23386
Ksr1
Gm36874
Crk
Aatk
Fndc8
Arhgap27
Mrpl22
Gm53699
Pex12
Cenpx
Hnf1b
Spns2os
Ogdh
Tax1bp3
Med11
Mettl2
Gm11714
Pik3ip1
Zpbp
Nt5m
Ccdc137
Hexd
Ogfod3
Rel
Fads6
Pno1
Zfp830
Nlgn2
Tmem199
Sphk1
Krt34
Sh3bp5l
Gm53255
Mir22hg
Tvp23bos
Cyb561
Castor1
Dcakd
Pfn1
Gm23451
Septin9
Birc5
Mien1
Prr15l
Gm57583
Gm24149
Eldr
Chad
Gm42085
Gm51898
Gm19911
Gabra1
Hint1
Gm51939
Tlcd3a
Gm39674
Gm46254
Gm39675
Canx
Ddx52
Spmip7
Sdk2
Chrnb1
Gm34075
P3h4
Rnf43
Gm34620
1700042O10Rik
Ttc1
Gm39440
Cep112
Krt13
Gm38924
Gm34281
Gm34488
Or3a1b
Ccdc69
Gm39671
Gm51897
Dhrs11
Gm11723
Mbtd1
Odf4
Gm53042
Or9e1
Nudcd3
Ccdc92b
Gm46262
Gm51917
4930553C11Rik
Glp2r
Gm29979
Gm11568
Pld6
Llgl1
Gm51928
2810471M01Rik
Hoxb7
Chct1
4930502E09Rik
Atp10b
Lypd8l
Mir6920
G6pc3
Gm40820
Myl7
Armc7
2810021J22Rik
Gm31688
Mir142
Cbx2
Gm12018
Pus10
Abhd15
Gm29873
Rnf227
Mrpl12
Cdr2l
Serpinf1
Luc7l3
Gm34418
Brca1
Tnfsf13os
Gm11586
Gm12059
Gas7
Gm35170
Mrpl27
Efnb3
Slc35e4
Myh13
Znrf3
Cntd1
Fasn
Gm46295
Gm39612
5730455P16Rik
Gm53660
Wfdc18
Slc36a3
Ccl7
Unc45bos
Sun3
Slfn4
Acaca
Gm30785
Tob1
Gm11967
Slc16a13
Gm12239
Rnft1
LOC115487808
Gm11655
Stx8
Gm40823
Ltc4s
2310033P09Rik
Gm11592
Ahsa2
Cacng4
Pirt
Mat2b
Omg
4930538E20Rik
Cavin1
Milr1
Slc36a2
n-TSaga4
Gm51867
Or2y12
P2rx1
Zfp879
Gm40019
Smtn
4930512M02Rik
Gm30217
Strada
Slc25a39
Epx
Rab11fip4
Narf
Zfp3
Rptoros
Cd300lg
Mir6932
Zfp354a
Slfn1
Gabarap
Garin3
Ube2b
Glra1
Sez6
Sap30bp
4933406G16Rik
B3gnt2
Havcr1
Nup88
Flcn
Rnf112
Dusp3
Ascc2
Xaf1
Vcf1
Gm53678
Gm53663
Pfas
Pimreg
Phb1
Krtap1-3
4732414G09Rik
Higd1b
Tada2a
Gm39471
4931413K12Rik
Fbxw10
Gabrp
Gm39482
Gm53701
Krt24
Mgl2
Kpna2
Gm32915
Gm35469
Ccdc103
Scimp
Myo1g
Col1a1
Gm11998
Foxk2
Pmp22
Xylt2
Ykt6
1700003D09Rik
Gm12589
Krt27
Gm39442
Faap100
9530068E07Rik
Cep95
Gm34963
Septin8
Gm34726
Tcn2
Kpnb1
Msantd5l
Lhx1os
LOC118567877
Myo1c
Or1e1c
Ublcp1
Ttc19
Btnl10
Krt26
Sp6
Gm38985
Pigs
Poldip2
Gm53679
Cd300e
4930469K13Rik
Ppp1r9b
Gm12000
Or1r1
Tenm2
H3f4
Hand1
Zfp2
Cdkn2aipnl
Gm51891
Il3
Myo15b
Gm53658
Gm38937
Kcnj16
Grap
Plek
Nipal4
0610039H22Rik
Tbc1d10a
Gm33998
Gm53696
Rnf222
Dnajc7
Kcnmb1
Gm32946
Tspan10
Gm40029
Trarg1
Usp43
Gm38956
Cbr2
LOC105243553
Trim65
Kremen1
4930556N13Rik
Krtap3-3
Actr2
Gm36709
Gm38963
Spag5
Arhgap27os3
Git1
Cd68
Tmem92
Gm32273
Gm33379
Srebf1
Gm34704
Gm39567
Gm12107
Peli1
Gm34366
Gm38759
Gm29932
Gip
Nf2
Gm30337
Gm53698
Gm11496
Gm22471
Sec14l3
Krt28
Gm24887
Or2y8
Gm33026
Cyth1
Gm38514
Flot2
Vezf1
Gm32708
Eftud2
Gm24856
Gm11419
Gm39822
4732490B19Rik
Gm19835
Lrrc46
Gm29958
Drc3
Cd300lf
Txndc17
Gm11728
Otop2
Dus1l
9230009I02Rik
Gm11523
Gm36507
Gm11418
Mrpl55
Gm33937
Acox1
Axin2
Slfn5os
Mtnap1
Lgalsl
Galnt10
Gm51881
Gm32992
Gpr179
Gcgr
Dcxr
9930111J21Rik1
Gm12031
Gosr1
Rpl23
Asic2
Ccng1
Scrn2
Nploc4
Snord95
Vps25
Gm31268
1700093K21Rik
Ccr7
Gm39022
Zfp652
Gm12712
Spns2
Top3a
Lyrm7
Cacng1
Gm39819
G6pc1
Nfe2l1
Atp5mc1
Pdlim4
Usp32
Gm11770
Gm30786
Mrpl45
P2rx5
1700092K14Rik
Ezh1
LOC102631979
Meis1
Stat3
Gm40200
Hoxb3
Gm46273
Anapc11
Gm11681
Gm51920
Gm35012
Gm53653
Eif4a3
Krt35
Mir301
Fn3k
Gm39815
Gm11946
Fignl1
Or2y16
Gm51908
Skap1
Gm51856
Tnfsf13
Smtnl2
Gm12126
Ormdl3
Trpv1
Gm34560
Gm51906
Gm29887
Gm46285
Psmb3
Adcy1
Mgat5b
Rph3al
Nacad
Ints2
Evpl
Ggnbp2
Gm38981
Krtap4-8
Fdxr
Pgs1
Gm23039
Atpaf2
Slc36a1os
Wsb1
Stxbp4
Nptx1
Tmub2
Nat9
Rab1a
A430108G06Rik
Cct4
Krt33a
Gm12022
Med1
Gid4
Recql5
Dvl2
Pafah1b1
Gm50590
Phf12
Eif5a
Slc39a11
Gm30366
Fscn2
Sanbr
Gm45606
Mir6923
n-TDgtc10
Krt42
Nags
Krt12
Sec24a
Irgm1
E030025P04Rik
Copz2
Psmd11
Mpo
Acadvl
Gm12279
Aftph
Rps6kb1
Gm26070
Tanc2
Rad50
Ccdc40
Wnt3a
Gm46287
Dhrs7c
Lpo
Gm51879
Gm32142
Grin2c
Exoc7
Tnfaip1
Tcam1
Pttg1
Aanat
Gm39583
Guk1
Nf1
Rptor
Cd79b
Gm11532
Gm11769
Spag9
Gm35420
Bcl6b
Platr20
Gm31724
Tepsin
Spem2
Gck
Gm57579
Tbkbp1
Mir5119
Gm12159
Gm53654
Gm39676
Gm57580
Gm39483
Mdh1
Naglu
Gm36556
Sfi1
Gm35117
Gm25142
Gm39472
Nme2
Myh8
Hba-a1
Morc2a
Mrnip
Gm31674
Med31
Smg6
Gm30009
Gm33662
Gm12198
Rffl
Cox11
Kif1c
Gm39821
Gm22423
Vps53
A830036E02Rik
Engase
Zfp286os
Gm53695
Ush1g
Becn1
Ppm1d
Gm39705
Mrpl38
Gm11657
Wap
Gm53682
Mapt
Gm40191
Gm33249
Mafg
Or2t43
Mpdu1
Lgals9
Gm11571
Myl4
Cops3
Cabp7
Gm11767
Iba57
Senp3
Gm12111
Trim41
LOC133624656
Or2t44
Pelp1
H1f9
5730522E02Rik
Gm39830
Kansl1
Gm53671
Septin4
Gm16013
Adap2
Map3k14
Ankrd36
Gm30060
2410003L11Rik
Sco1
Gm23093
Pip4k2b
Gm46293
Bahcc1
Itk
Gm51902
Urgcp
Dgkeos
Gm51916
